team,opponent,location,game_id,game_time,game_time_et,last_week,last_week_luck,last_week_exp_diff,last_week_actual_diff,this_week,this_week_spread,spread_abs,spread_category,is_favorite,num_books,strat_primary_back_unlucky_fav_small_spread,strat_secondary_back_lucky_dog_large_spread
BUF,PIT,away,365a766a3862bc47a5455dc3b097421e,2025-11-30 21:25:00+00:00,2025-11-30 16:25 ET,12,-1.5,-2.5,-4.0,13,-3.5,3.5,3-7,True,11,False,False
PIT,BUF,home,365a766a3862bc47a5455dc3b097421e,2025-11-30 21:25:00+00:00,2025-11-30 16:25 ET,12,-6.099999999999998,3.099999999999998,-3.0,13,3.5,3.5,3-7,False,11,False,False
SF,CLE,away,36fcf5ca155a5dcd2f7a87fd2a985b02,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,5.300000000000001,5.699999999999999,11.0,13,-5.0,5.0,3-7,True,11,False,False
CLE,SF,home,36fcf5ca155a5dcd2f7a87fd2a985b02,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,10.5,3.5,14.0,13,5.0,5.0,3-7,False,11,False,False
NYG,NE,away,3e65786eddd4c7aee9e7f2504f6fdedc,2025-12-02 01:15:00+00:00,2025-12-01 20:15 ET,12,-0.1999999999999993,-6.800000000000001,-7.0,13,7.5,7.5,7+,False,11,False,False
NE,NYG,home,3e65786eddd4c7aee9e7f2504f6fdedc,2025-12-02 01:15:00+00:00,2025-12-01 20:15 ET,12,2.0,4.0,6.0,13,-7.5,7.5,7+,True,11,False,False
CHI,PHI,away,52f539d9d080618aa8830a0b03846a80,2025-11-28 20:00:00+00:00,2025-11-28 15:00 ET,12,6.099999999999998,-3.099999999999998,3.0,13,7.0,7.0,3-7,False,11,False,False
PHI,CHI,home,52f539d9d080618aa8830a0b03846a80,2025-11-28 20:00:00+00:00,2025-11-28 15:00 ET,12,0.0,,,13,-7.0,7.0,3-7,True,11,False,False
JAX,TEN,away,61e1e459b2ddafd43e8808d4f40c01d9,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,1.8000000000000007,1.1999999999999993,3.0,13,-6.5,6.5,3-7,True,11,False,False
TEN,JAX,home,61e1e459b2ddafd43e8808d4f40c01d9,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,7.699999999999999,-13.7,-6.0,13,6.5,6.5,3-7,False,11,False,False
LAR,CAR,away,67e51d17848485bed8737bd7043a275a,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,8.100000000000001,18.9,27.0,13,-10.5,10.5,7+,True,11,False,False
CAR,LAR,home,67e51d17848485bed8737bd7043a275a,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,-5.300000000000001,-5.699999999999999,-11.0,13,10.5,10.5,7+,False,11,False,False
MIN,SEA,away,6f956074c4df48e7b07a3286a6c6ed2a,2025-11-30 21:05:00+00:00,2025-11-30 16:05 ET,12,-3.3999999999999986,-13.6,-17.0,13,10.5,10.5,7+,False,11,False,False
SEA,MIN,home,6f956074c4df48e7b07a3286a6c6ed2a,2025-11-30 21:05:00+00:00,2025-11-30 16:05 ET,12,-7.699999999999999,13.7,6.0,13,-10.5,10.5,7+,True,11,False,False
LV,LAC,away,76ac5a8d2c8679ae6ea8861114791bd8,2025-11-30 21:25:00+00:00,2025-11-30 16:25 ET,12,-10.5,-3.5,-14.0,13,9.5,9.5,7+,False,11,False,False
LAC,LV,home,76ac5a8d2c8679ae6ea8861114791bd8,2025-11-30 21:25:00+00:00,2025-11-30 16:25 ET,12,0.0,,,13,-9.5,9.5,7+,True,11,False,False
CIN,BAL,away,883a79a306b312fad75ebf04b441b4da,2025-11-28 01:20:00+00:00,2025-11-27 20:20 ET,12,-2.0,-4.0,-6.0,13,7.0,7.0,3-7,False,11,False,False
BAL,CIN,home,883a79a306b312fad75ebf04b441b4da,2025-11-28 01:20:00+00:00,2025-11-27 20:20 ET,12,11.6,1.3999999999999986,13.0,13,-7.0,7.0,3-7,True,11,False,False
DEN,WAS,away,9c040de8f1dfc3ddee20e0d65c9402de,2025-12-01 01:20:00+00:00,2025-11-30 20:20 ET,12,0.0,,,13,-6.5,6.5,3-7,True,11,False,False
WAS,DEN,home,9c040de8f1dfc3ddee20e0d65c9402de,2025-12-01 01:20:00+00:00,2025-11-30 20:20 ET,12,0.0,,,13,6.5,6.5,3-7,False,11,False,False
ATL,NYJ,away,9da608f5bdae527b280abd61e47a110b,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,8.899999999999999,5.100000000000001,14.0,13,-2.5,2.5,0-3,True,11,False,False
NYJ,ATL,home,9da608f5bdae527b280abd61e47a110b,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,-11.6,-1.3999999999999986,-13.0,13,2.5,2.5,0-3,False,11,False,False
ARI,TB,away,c0d324e29ce58b36bdc77564f7aae56f,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,-1.8000000000000007,-1.1999999999999993,-3.0,13,3.0,3.0,0-3,False,10,False,False
TB,ARI,home,c0d324e29ce58b36bdc77564f7aae56f,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,-8.100000000000001,-18.9,-27.0,13,-3.0,3.0,0-3,True,10,True,False
KC,DAL,away,de53b8a594fe830c5fd56484705cd756,2025-11-27 21:30:00+00:00,2025-11-27 16:30 ET,12,-4.100000000000001,7.100000000000001,3.0,13,-3.0,3.0,0-3,True,11,False,False
DAL,KC,home,de53b8a594fe830c5fd56484705cd756,2025-11-27 21:30:00+00:00,2025-11-27 16:30 ET,12,0.0,,,13,3.0,3.0,0-3,False,11,False,False
NO,MIA,away,e3c9bfba57bbe784481d881ea3b4519d,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,-8.899999999999999,-5.100000000000001,-14.0,13,6.0,6.0,3-7,False,11,False,False
MIA,NO,home,e3c9bfba57bbe784481d881ea3b4519d,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,0.0,,,13,-6.0,6.0,3-7,True,11,False,False
HOU,IND,away,fa46c661007f5f0cbbf6abf939ac9d51,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,1.5,2.5,4.0,13,4.5,4.5,3-7,False,11,False,False
IND,HOU,home,fa46c661007f5f0cbbf6abf939ac9d51,2025-11-30 18:00:00+00:00,2025-11-30 13:00 ET,12,4.100000000000001,-7.100000000000001,-3.0,13,-4.5,4.5,3-7,True,11,False,False
GB,DET,away,fe2eb07797580740af78037ab498198e,2025-11-27 18:00:00+00:00,2025-11-27 13:00 ET,12,3.3999999999999986,13.6,17.0,13,2.5,2.5,0-3,False,11,False,False
DET,GB,home,fe2eb07797580740af78037ab498198e,2025-11-27 18:00:00+00:00,2025-11-27 13:00 ET,12,0.1999999999999993,6.800000000000001,7.0,13,-2.5,2.5,0-3,True,11,False,False
